Description,Date,Location,Value
Total deaths registered among health workers,2014-09-07,Lola,
New admits to CTE so far,2014-09-07,Lola,
Total number of hospitalized cases in CTE,2014-09-07,Lola,
Total number of exits from CTE,2014-09-07,Lola,
Total number of admissions to CTE,2014-09-07,Lola,
New contacts registered so far,2014-09-07,Lola,
Total contacts registered from start date,2014-09-07,Lola,
Number of contacts to follow today,2014-09-07,Lola,
Number of contacts followed today,2014-09-07,Lola,
Number of contacts out of the track 21 days,2014-09-07,Lola,
Number of contacts lost to follow up,2014-09-07,Lola,
Number of samples collected today,2014-09-07,Lola,
Number of samples under test,2014-09-07,Lola,
Total samples tested,2014-09-07,Lola,
New cases of suspects,2014-09-07,Macenta,4
New cases of probables,2014-09-07,Macenta,
New cases of confirmed,2014-09-07,Macenta,8
Total new cases registered so far,2014-09-07,Macenta,12
Total cases of suspects,2014-09-07,Macenta,16
Total cases of probables,2014-09-07,Macenta,12
Total cases of confirmed,2014-09-07,Macenta,209
Cumulative (confirmed + probable + suspects),2014-09-07,Macenta,237
Total suspected non-class cases,2014-09-07,Macenta,118
New deaths registered,2014-09-07,Macenta,3
Total deaths of suspects,2014-09-07,Macenta,2
Total deaths of probables,2014-09-07,Macenta,12
Total deaths of confirmed,2014-09-07,Macenta,128
Total deaths (confirmed + probables + suspects),2014-09-07,Macenta,142
Fatality rate for confirmed and probables,2014-09-07,Macenta,60%
New cases of confirmed among health workers,2014-09-07,Macenta,
Total case of confirmed among health workers,2014-09-07,Macenta,8
New deaths registered among health workers,2014-09-07,Macenta,0
Total deaths registered among health workers,2014-09-07,Macenta,6
New admits to CTE so far,2014-09-07,Macenta,32
Total number of hospitalized cases in CTE,2014-09-07,Macenta,0
Total number of exits from CTE,2014-09-07,Macenta,0
Total number of admissions to CTE,2014-09-07,Macenta,32
New contacts registered so far,2014-09-07,Macenta,
Total contacts registered from start date,2014-09-07,Macenta,1078
Number of contacts to follow today,2014-09-07,Macenta,783
Number of contacts followed today,2014-09-07,Macenta,602
Number of contacts out of the track 21 days,2014-09-07,Macenta,357
Number of contacts lost to follow up,2014-09-07,Macenta,0
Number of samples collected today,2014-09-07,Macenta,0
Number of samples under test,2014-09-07,Macenta,0
Total samples tested,2014-09-07,Macenta,0
New cases of suspects,2014-09-07,Nzerekore,
New cases of probables,2014-09-07,Nzerekore,
New cases of confirmed,2014-09-07,Nzerekore,
Total new cases registered so far,2014-09-07,Nzerekore,2
Total cases of suspects,2014-09-07,Nzerekore,0
Total cases of probables,2014-09-07,Nzerekore,1
Total cases of confirmed,2014-09-07,Nzerekore,13
Cumulative (confirmed + probable + suspects),2014-09-07,Nzerekore,14
Total suspected non-class cases,2014-09-07,Nzerekore,7
New deaths registered,2014-09-07,Nzerekore,
Total deaths of suspects,2014-09-07,Nzerekore,0
Total deaths of probables,2014-09-07,Nzerekore,1
Total deaths of confirmed,2014-09-07,Nzerekore,5
Total deaths (confirmed + probables + suspects),2014-09-07,Nzerekore,6
Fatality rate for confirmed and probables,2014-09-07,Nzerekore,43%
New cases of confirmed among health workers,2014-09-07,Nzerekore,
Total case of confirmed among health workers,2014-09-07,Nzerekore,1
New deaths registered among health workers,2014-09-07,Nzerekore,0
Total deaths registered among health workers,2014-09-07,Nzerekore,1
New admits to CTE so far,2014-09-07,Nzerekore,
Total number of hospitalized cases in CTE,2014-09-07,Nzerekore,0
Total number of exits from CTE,2014-09-07,Nzerekore,0
Total number of admissions to CTE,2014-09-07,Nzerekore,0
New contacts registered so far,2014-09-07,Nzerekore,5
Total contacts registered from start date,2014-09-07,Nzerekore,204
Number of contacts to follow today,2014-09-07,Nzerekore,58
Number of contacts followed today,2014-09-07,Nzerekore,58
Number of contacts out of the track 21 days,2014-09-07,Nzerekore,146
Number of contacts lost to follow up,2014-09-07,Nzerekore,0
Number of samples collected today,2014-09-07,Nzerekore,
Number of samples under test,2014-09-07,Nzerekore,
Total samples tested,2014-09-07,Nzerekore,
New cases of suspects,2014-09-07,Pita,
New cases of probables,2014-09-07,Pita,
New cases of confirmed,2014-09-07,Pita,
Total new cases registered so far,2014-09-07,Pita,0
Total cases of suspects,2014-09-07,Pita,1
Total cases of probables,2014-09-07,Pita,1
Total cases of confirmed,2014-09-07,Pita,6
Cumulative (confirmed + probable + suspects),2014-09-07,Pita,8
Total suspected non-class cases,2014-09-07,Pita,12
New deaths registered,2014-09-07,Pita,
Total deaths of suspects,2014-09-07,Pita,0
Total deaths of probables,2014-09-07,Pita,1
Total deaths of confirmed,2014-09-07,Pita,2
Total deaths (confirmed + probables + suspects),2014-09-07,Pita,3
Fatality rate for confirmed and probables,2014-09-07,Pita,38%
New cases of confirmed among health workers,2014-09-07,Pita,
Total case of confirmed among health workers,2014-09-07,Pita,0
New deaths registered among health workers,2014-09-07,Pita,0
Total deaths registered among health workers,2014-09-07,Pita,0
New admits to CTE so far,2014-09-07,Pita,
Total number of hospitalized cases in CTE,2014-09-07,Pita,0
Total number of exits from CTE,2014-09-07,Pita,0
Total number of admissions to CTE,2014-09-07,Pita,0
New contacts registered so far,2014-09-07,Pita,
Total contacts registered from start date,2014-09-07,Pita,140
Number of contacts to follow today,2014-09-07,Pita,32
Number of contacts followed today,2014-09-07,Pita,32
Number of contacts out of the track 21 days,2014-09-07,Pita,108
Number of contacts lost to follow up,2014-09-07,Pita,0
Number of samples collected today,2014-09-07,Pita,
Number of samples under test,2014-09-07,Pita,
Total samples tested,2014-09-07,Pita,
New cases of suspects,2014-09-07,Siguiri,
New cases of probables,2014-09-07,Siguiri,
New cases of confirmed,2014-09-07,Siguiri,
Total new cases registered so far,2014-09-07,Siguiri,0
Total cases of suspects,2014-09-07,Siguiri,0
Total cases of probables,2014-09-07,Siguiri,0
Total cases of confirmed,2014-09-07,Siguiri,6
Cumulative (confirmed + probable + suspects),2014-09-07,Siguiri,6
Total suspected non-class cases,2014-09-07,Siguiri,8
New deaths registered,2014-09-07,Siguiri,
Total deaths of suspects,2014-09-07,Siguiri,0
Total deaths of probables,2014-09-07,Siguiri,0
Total deaths of confirmed,2014-09-07,Siguiri,3
Total deaths (confirmed + probables + suspects),2014-09-07,Siguiri,3
Fatality rate for confirmed and probables,2014-09-07,Siguiri,50%
New cases of confirmed among health workers,2014-09-07,Siguiri,
Total case of confirmed among health workers,2014-09-07,Siguiri,2
New deaths registered among health workers,2014-09-07,Siguiri,0
Total deaths registered among health workers,2014-09-07,Siguiri,0
New admits to CTE so far,2014-09-07,Siguiri,
Total number of hospitalized cases in CTE,2014-09-07,Siguiri,0
Total number of exits from CTE,2014-09-07,Siguiri,0
Total number of admissions to CTE,2014-09-07,Siguiri,13
New contacts registered so far,2014-09-07,Siguiri,
Total contacts registered from start date,2014-09-07,Siguiri,141
Number of contacts to follow today,2014-09-07,Siguiri,0
Number of contacts followed today,2014-09-07,Siguiri,0
Number of contacts out of the track 21 days,2014-09-07,Siguiri,141
Number of contacts lost to follow up,2014-09-07,Siguiri,0
Number of samples collected today,2014-09-07,Siguiri,
Number of samples under test,2014-09-07,Siguiri,
Total samples tested,2014-09-07,Siguiri,
New cases of suspects,2014-09-07,Telimele,
New cases of probables,2014-09-07,Telimele,
New cases of confirmed,2014-09-07,Telimele,
Total new cases registered so far,2014-09-07,Telimele,0
Total cases of suspects,2014-09-07,Telimele,0
Total cases of probables,2014-09-07,Telimele,3
Total cases of confirmed,2014-09-07,Telimele,23
Cumulative (confirmed + probable + suspects),2014-09-07,Telimele,26
Total suspected non-class cases,2014-09-07,Telimele,18
New deaths registered,2014-09-07,Telimele,
Total deaths of suspects,2014-09-07,Telimele,0
Total deaths of probables,2014-09-07,Telimele,3
Total deaths of confirmed,2014-09-07,Telimele,7
Total deaths (confirmed + probables + suspects),2014-09-07,Telimele,10
Fatality rate for confirmed and probables,2014-09-07,Telimele,38%
New cases of confirmed among health workers,2014-09-07,Telimele,
Total case of confirmed among health workers,2014-09-07,Telimele,2
New deaths registered among health workers,2014-09-07,Telimele,0
Total deaths registered among health workers,2014-09-07,Telimele,1
New admits to CTE so far,2014-09-07,Telimele,
Total number of hospitalized cases in CTE,2014-09-07,Telimele,0
Total number of exits from CTE,2014-09-07,Telimele,0
Total number of admissions to CTE,2014-09-07,Telimele,41
New contacts registered so far,2014-09-07,Telimele,
Total contacts registered from start date,2014-09-07,Telimele,259
Number of contacts to follow today,2014-09-07,Telimele,0
Number of contacts followed today,2014-09-07,Telimele,0
Number of contacts out of the track 21 days,2014-09-07,Telimele,259
Number of contacts lost to follow up,2014-09-07,Telimele,0
Number of samples collected today,2014-09-07,Telimele,
Number of samples under test,2014-09-07,Telimele,
Total samples tested,2014-09-07,Telimele,
New cases of suspects,2014-09-07,Totals,5
New cases of probables,2014-09-07,Totals,0
New cases of confirmed,2014-09-07,Totals,11
Total new cases registered so far,2014-09-07,Totals,16
Total cases of suspects,2014-09-07,Totals,32
Total cases of probables,2014-09-07,Totals,151
Total cases of confirmed,2014-09-07,Totals,678
Cumulative (confirmed + probable + suspects),2014-09-07,Totals,861
Total suspected non-class cases,2014-09-07,Totals,714
New deaths registered,2014-09-07,Totals,4
Total deaths of suspects,2014-09-07,Totals,4
Total deaths of probables,2014-09-07,Totals,151
Total deaths of confirmed,2014-09-07,Totals,402
Total deaths (confirmed + probables + suspects),2014-09-07,Totals,557
Fatality rate for confirmed and probables,2014-09-07,Totals,65%
New cases of confirmed among health workers,2014-09-07,Totals,2
Total case of confirmed among health workers,2014-09-07,Totals,54
New deaths registered among health workers,2014-09-07,Totals,0
Total deaths registered among health workers,2014-09-07,Totals,28
New admits to CTE so far,2014-09-07,Totals,50
Total number of hospitalized cases in CTE,2014-09-07,Totals,102
Total number of exits from CTE,2014-09-07,Totals,8
Total number of admissions to CTE,2014-09-07,Totals,1256
New contacts registered so far,2014-09-07,Totals,5
Total contacts registered from start date,2014-09-07,Totals,8840
Number of contacts to follow today,2014-09-07,Totals,2162
Number of contacts followed today,2014-09-07,Totals,1868
Number of contacts out of the track 21 days,2014-09-07,Totals,6851
Number of contacts lost to follow up,2014-09-07,Totals,0
Number of samples collected today,2014-09-07,Totals,33
Number of samples under test,2014-09-07,Totals,0
Total samples tested,2014-09-07,Totals,2236
New cases of suspects,2014-09-07,Yomou,
New cases of probables,2014-09-07,Yomou,
New cases of confirmed,2014-09-07,Yomou,
Total new cases registered so far,2014-09-07,Yomou,1
Total cases of suspects,2014-09-07,Yomou,1
Total cases of probables,2014-09-07,Yomou,0
Total cases of confirmed,2014-09-07,Yomou,11
Cumulative (confirmed + probable + suspects),2014-09-07,Yomou,12
Total suspected non-class cases,2014-09-07,Yomou,3
New deaths registered,2014-09-07,Yomou,
Total deaths of suspects,2014-09-07,Yomou,0
Total deaths of probables,2014-09-07,Yomou,0
Total deaths of confirmed,2014-09-07,Yomou,5
Total deaths (confirmed + probables + suspects),2014-09-07,Yomou,5
Fatality rate for confirmed and probables,2014-09-07,Yomou,42%
New cases of confirmed among health workers,2014-09-07,Yomou,
Total case of confirmed among health workers,2014-09-07,Yomou,1
New deaths registered among health workers,2014-09-07,Yomou,0
Total deaths registered among health workers,2014-09-07,Yomou,1
New admits to CTE so far,2014-09-07,Yomou,
Total number of hospitalized cases in CTE,2014-09-07,Yomou,0
Total number of exits from CTE,2014-09-07,Yomou,0
Total number of admissions to CTE,2014-09-07,Yomou,0
New contacts registered so far,2014-09-07,Yomou,
Total contacts registered from start date,2014-09-07,Yomou,56
Number of contacts to follow today,2014-09-07,Yomou,35
Number of contacts followed today,2014-09-07,Yomou,30
Number of contacts out of the track 21 days,2014-09-07,Yomou,0
Number of contacts lost to follow up,2014-09-07,Yomou,0
Number of samples collected today,2014-09-07,Yomou,
Number of samples under test,2014-09-07,Yomou,
Total samples tested,2014-09-07,Yomou,
New cases of suspects,2014-09-16,Beyla,
New cases of probables,2014-09-16,Beyla,
New cases of confirmed,2014-09-16,Beyla,
Total new cases registered so far,2014-09-16,Beyla,
Total cases of suspects,2014-09-16,Beyla,
Total cases of probables,2014-09-16,Beyla,
Total cases of confirmed,2014-09-16,Beyla,
Cumulative (confirmed + probable + suspects),2014-09-16,Beyla,
Total suspected non-class cases,2014-09-16,Beyla,
New deaths registered,2014-09-16,Beyla,
Total deaths of suspects,2014-09-16,Beyla,
Total deaths of probables,2014-09-16,Beyla,
Total deaths of confirmed,2014-09-16,Beyla,
Total deaths (confirmed + probables + suspects),2014-09-16,Beyla,
Fatality rate for confirmed and probables,2014-09-16,Beyla,
New cases of confirmed among health workers,2014-09-16,Beyla,
Total case of confirmed among health workers,2014-09-16,Beyla,
New deaths registered among health workers,2014-09-16,Beyla,
Total deaths registered among health workers,2014-09-16,Beyla,
New admits to CTE so far,2014-09-16,Beyla,
Total number of hospitalized cases in CTE,2014-09-16,Beyla,
Total number of exits from CTE,2014-09-16,Beyla,
Total number of admissions to CTE,2014-09-16,Beyla,
New contacts registered so far,2014-09-16,Beyla,
Total contacts registered from start date,2014-09-16,Beyla,
Number of contacts to follow today,2014-09-16,Beyla,
Number of contacts followed today,2014-09-16,Beyla,
Number of contacts out of the track 21 days,2014-09-16,Beyla,
Number of contacts lost to follow up,2014-09-16,Beyla,
Number of samples collected today,2014-09-16,Beyla,
Number of samples under test,2014-09-16,Beyla,
Total samples tested,2014-09-16,Beyla,
New cases of suspects,2014-09-16,Boffa,
New cases of probables,2014-09-16,Boffa,
New cases of confirmed,2014-09-16,Boffa,
Total new cases registered so far,2014-09-16,Boffa,0
Total cases of suspects,2014-09-16,Boffa,0
Total cases of probables,2014-09-16,Boffa,5
Total cases of confirmed,2014-09-16,Boffa,19
Cumulative (confirmed + probable + suspects),2014-09-16,Boffa,24
Total suspected non-class cases,2014-09-16,Boffa,20
New deaths registered,2014-09-16,Boffa,
Total deaths of suspects,2014-09-16,Boffa,0
Total deaths of probables,2014-09-16,Boffa,5
Total deaths of confirmed,2014-09-16,Boffa,11
Total deaths (confirmed + probables + suspects),2014-09-16,Boffa,16
