,Description,Date,Location,Value
3696,Total case of confirmed among health workers,2014-09-07,Telimele,2
3697,New deaths registered among health workers,2014-09-07,Telimele,0
3698,Total deaths registered among health workers,2014-09-07,Telimele,1
3699,New admits to CTE so far,2014-09-07,Telimele,
3700,Total number of hospitalized cases in CTE,2014-09-07,Telimele,0
3701,Total number of exits from CTE,2014-09-07,Telimele,0
3702,Total number of admissions to CTE,2014-09-07,Telimele,41
3703,New contacts registered so far,2014-09-07,Telimele,
3704,Total contacts registered from start date,2014-09-07,Telimele,259
3705,Number of contacts to follow today,2014-09-07,Telimele,0
3706,Number of contacts followed today,2014-09-07,Telimele,0
3707,Number of contacts out of the track 21 days,2014-09-07,Telimele,259
3708,Number of contacts lost to follow up,2014-09-07,Telimele,0
3709,Number of samples collected today,2014-09-07,Telimele,
3710,Number of samples under test,2014-09-07,Telimele,
3711,Total samples tested,2014-09-07,Telimele,
3872,New cases of suspects,2014-09-07,Totals,5
3873,New cases of probables,2014-09-07,Totals,0
3874,New cases of confirmed,2014-09-07,Totals,11
3875,Total new cases registered so far,2014-09-07,Totals,16
3876,Total cases of suspects,2014-09-07,Totals,32
3877,Total cases of probables,2014-09-07,Totals,151
3878,Total cases of confirmed,2014-09-07,Totals,678
3879,Cumulative (confirmed + probable + suspects),2014-09-07,Totals,861
3880,Total suspected non-class cases,2014-09-07,Totals,714
3881,New deaths registered,2014-09-07,Totals,4
3882,Total deaths of suspects,2014-09-07,Totals,4
3883,Total deaths of probables,2014-09-07,Totals,151
3884,Total deaths of confirmed,2014-09-07,Totals,402
3885,Total deaths (confirmed + probables + suspects),2014-09-07,Totals,557
3886,Fatality rate for confirmed and probables,2014-09-07,Totals,65%
3887,New cases of confirmed among health workers,2014-09-07,Totals,2
3888,Total case of confirmed among health workers,2014-09-07,Totals,54
3889,New deaths registered among health workers,2014-09-07,Totals,0
3890,Total deaths registered among health workers,2014-09-07,Totals,28
3891,New admits to CTE so far,2014-09-07,Totals,50
3892,Total number of hospitalized cases in CTE,2014-09-07,Totals,102
3893,Total number of exits from CTE,2014-09-07,Totals,8
3894,Total number of admissions to CTE,2014-09-07,Totals,1256
3895,New contacts registered so far,2014-09-07,Totals,5
3896,Total contacts registered from start date,2014-09-07,Totals,8840
3897,Number of contacts to follow today,2014-09-07,Totals,2162
3898,Number of contacts followed today,2014-09-07,Totals,1868
3899,Number of contacts out of the track 21 days,2014-09-07,Totals,6851
3900,Number of contacts lost to follow up,2014-09-07,Totals,0
3901,Number of samples collected today,2014-09-07,Totals,33
3902,Number of samples under test,2014-09-07,Totals,0
3903,Total samples tested,2014-09-07,Totals,2236
4064,New cases of suspects,2014-09-07,Yomou,
4065,New cases of probables,2014-09-07,Yomou,
4066,New cases of confirmed,2014-09-07,Yomou,
4067,Total new cases registered so far,2014-09-07,Yomou,1
4068,Total cases of suspects,2014-09-07,Yomou,1
4069,Total cases of probables,2014-09-07,Yomou,0
4070,Total cases of confirmed,2014-09-07,Yomou,11
4071,Cumulative (confirmed + probable + suspects),2014-09-07,Yomou,12
4072,Total suspected non-class cases,2014-09-07,Yomou,3
4073,New deaths registered,2014-09-07,Yomou,
4074,Total deaths of suspects,2014-09-07,Yomou,0
4075,Total deaths of probables,2014-09-07,Yomou,0
4076,Total deaths of confirmed,2014-09-07,Yomou,5
4077,Total deaths (confirmed + probables + suspects),2014-09-07,Yomou,5
4078,Fatality rate for confirmed and probables,2014-09-07,Yomou,42%
4079,New cases of confirmed among health workers,2014-09-07,Yomou,
4080,Total case of confirmed among health workers,2014-09-07,Yomou,1
4081,New deaths registered among health workers,2014-09-07,Yomou,0
4082,Total deaths registered among health workers,2014-09-07,Yomou,1
4083,New admits to CTE so far,2014-09-07,Yomou,
4084,Total number of hospitalized cases in CTE,2014-09-07,Yomou,0
4085,Total number of exits from CTE,2014-09-07,Yomou,0
4086,Total number of admissions to CTE,2014-09-07,Yomou,0
4087,New contacts registered so far,2014-09-07,Yomou,
4088,Total contacts registered from start date,2014-09-07,Yomou,56
4089,Number of contacts to follow today,2014-09-07,Yomou,35
4090,Number of contacts followed today,2014-09-07,Yomou,30
4091,Number of contacts out of the track 21 days,2014-09-07,Yomou,0
4092,Number of contacts lost to follow up,2014-09-07,Yomou,0
4093,Number of samples collected today,2014-09-07,Yomou,
4094,Number of samples under test,2014-09-07,Yomou,
4095,Total samples tested,2014-09-07,Yomou,
64,New cases of suspects,2014-09-16,Beyla,
65,New cases of probables,2014-09-16,Beyla,
66,New cases of confirmed,2014-09-16,Beyla,
67,Total new cases registered so far,2014-09-16,Beyla,
68,Total cases of suspects,2014-09-16,Beyla,
69,Total cases of probables,2014-09-16,Beyla,
70,Total cases of confirmed,2014-09-16,Beyla,
71,Cumulative (confirmed + probable + suspects),2014-09-16,Beyla,
72,Total suspected non-class cases,2014-09-16,Beyla,
73,New deaths registered,2014-09-16,Beyla,
74,Total deaths of suspects,2014-09-16,Beyla,
75,Total deaths of probables,2014-09-16,Beyla,
76,Total deaths of confirmed,2014-09-16,Beyla,
77,Total deaths (confirmed + probables + suspects),2014-09-16,Beyla,
78,Fatality rate for confirmed and probables,2014-09-16,Beyla,
79,New cases of confirmed among health workers,2014-09-16,Beyla,
80,Total case of confirmed among health workers,2014-09-16,Beyla,
81,New deaths registered among health workers,2014-09-16,Beyla,
82,Total deaths registered among health workers,2014-09-16,Beyla,
83,New admits to CTE so far,2014-09-16,Beyla,
84,Total number of hospitalized cases in CTE,2014-09-16,Beyla,
85,Total number of exits from CTE,2014-09-16,Beyla,
86,Total number of admissions to CTE,2014-09-16,Beyla,
87,New contacts registered so far,2014-09-16,Beyla,
88,Total contacts registered from start date,2014-09-16,Beyla,
89,Number of contacts to follow today,2014-09-16,Beyla,
90,Number of contacts followed today,2014-09-16,Beyla,
91,Number of contacts out of the track 21 days,2014-09-16,Beyla,
92,Number of contacts lost to follow up,2014-09-16,Beyla,
93,Number of samples collected today,2014-09-16,Beyla,
94,Number of samples under test,2014-09-16,Beyla,
95,Total samples tested,2014-09-16,Beyla,
256,New cases of suspects,2014-09-16,Boffa,
257,New cases of probables,2014-09-16,Boffa,
258,New cases of confirmed,2014-09-16,Boffa,
259,Total new cases registered so far,2014-09-16,Boffa,0
260,Total cases of suspects,2014-09-16,Boffa,0
261,Total cases of probables,2014-09-16,Boffa,5
262,Total cases of confirmed,2014-09-16,Boffa,19
263,Cumulative (confirmed + probable + suspects),2014-09-16,Boffa,24
264,Total suspected non-class cases,2014-09-16,Boffa,20
265,New deaths registered,2014-09-16,Boffa,
266,Total deaths of suspects,2014-09-16,Boffa,0
267,Total deaths of probables,2014-09-16,Boffa,5
268,Total deaths of confirmed,2014-09-16,Boffa,11
269,Total deaths (confirmed + probables + suspects),2014-09-16,Boffa,16
270,Fatality rate for confirmed and probables,2014-09-16,Boffa,67%
271,New cases of confirmed among health workers,2014-09-16,Boffa,
272,Total case of confirmed among health workers,2014-09-16,Boffa,0
273,New deaths registered among health workers,2014-09-16,Boffa,0
274,Total deaths registered among health workers,2014-09-16,Boffa,0
275,New admits to CTE so far,2014-09-16,Boffa,
276,Total number of hospitalized cases in CTE,2014-09-16,Boffa,0
277,Total number of exits from CTE,2014-09-16,Boffa,0
278,Total number of admissions to CTE,2014-09-16,Boffa,0
279,New contacts registered so far,2014-09-16,Boffa,
280,Total contacts registered from start date,2014-09-16,Boffa,397
281,Number of contacts to follow today,2014-09-16,Boffa,0
282,Number of contacts followed today,2014-09-16,Boffa,0
283,Number of contacts out of the track 21 days,2014-09-16,Boffa,397
284,Number of contacts lost to follow up,2014-09-16,Boffa,0
285,Number of samples collected today,2014-09-16,Boffa,
286,Number of samples under test,2014-09-16,Boffa,
287,Total samples tested,2014-09-16,Boffa,
448,New cases of suspects,2014-09-16,Conakry,3
449,New cases of probables,2014-09-16,Conakry,
450,New cases of confirmed,2014-09-16,Conakry,2
451,Total new cases registered so far,2014-09-16,Conakry,5
452,Total cases of suspects,2014-09-16,Conakry,14
453,Total cases of probables,2014-09-16,Conakry,8
454,Total cases of confirmed,2014-09-16,Conakry,129
455,Cumulative (confirmed + probable + suspects),2014-09-16,Conakry,151
456,Total suspected non-class cases,2014-09-16,Conakry,278
457,New deaths registered,2014-09-16,Conakry,
458,Total deaths of suspects,2014-09-16,Conakry,2
459,Total deaths of probables,2014-09-16,Conakry,8
460,Total deaths of confirmed,2014-09-16,Conakry,51
461,Total deaths (confirmed + probables + suspects),2014-09-16,Conakry,61
462,Fatality rate for confirmed and probables,2014-09-16,Conakry,40%
463,New cases of confirmed among health workers,2014-09-16,Conakry,
464,Total case of confirmed among health workers,2014-09-16,Conakry,33
465,New deaths registered among health workers,2014-09-16,Conakry,0
466,Total deaths registered among health workers,2014-09-16,Conakry,14
467,New admits to CTE so far,2014-09-16,Conakry,3
468,Total number of hospitalized cases in CTE,2014-09-16,Conakry,17
469,Total number of exits from CTE,2014-09-16,Conakry,9
470,Total number of admissions to CTE,2014-09-16,Conakry,452
471,New contacts registered so far,2014-09-16,Conakry,48
472,Total contacts registered from start date,2014-09-16,Conakry,2645
473,Number of contacts to follow today,2014-09-16,Conakry,638
474,Number of contacts followed today,2014-09-16,Conakry,635
475,Number of contacts out of the track 21 days,2014-09-16,Conakry,2007
476,Number of contacts lost to follow up,2014-09-16,Conakry,0
477,Number of samples collected today,2014-09-16,Conakry,13
478,Number of samples under test,2014-09-16,Conakry,0
479,Total samples tested,2014-09-16,Conakry,1017
640,New cases of suspects,2014-09-16,Coyah,
641,New cases of probables,2014-09-16,Coyah,
642,New cases of confirmed,2014-09-16,Coyah,
643,Total new cases registered so far,2014-09-16,Coyah,0
644,Total cases of suspects,2014-09-16,Coyah,0
645,Total cases of probables,2014-09-16,Coyah,0
646,Total cases of confirmed,2014-09-16,Coyah,7
647,Cumulative (confirmed + probable + suspects),2014-09-16,Coyah,7
648,Total suspected non-class cases,2014-09-16,Coyah,3
649,New deaths registered,2014-09-16,Coyah,
650,Total deaths of suspects,2014-09-16,Coyah,0
651,Total deaths of probables,2014-09-16,Coyah,0
652,Total deaths of confirmed,2014-09-16,Coyah,4
653,Total deaths (confirmed + probables + suspects),2014-09-16,Coyah,4
654,Fatality rate for confirmed and probables,2014-09-16,Coyah,57%
655,New cases of confirmed among health workers,2014-09-16,Coyah,
656,Total case of confirmed among health workers,2014-09-16,Coyah,1
657,New deaths registered among health workers,2014-09-16,Coyah,0
658,Total deaths registered among health workers,2014-09-16,Coyah,0
659,New admits to CTE so far,2014-09-16,Coyah,
660,Total number of hospitalized cases in CTE,2014-09-16,Coyah,0
661,Total number of exits from CTE,2014-09-16,Coyah,0
662,Total number of admissions to CTE,2014-09-16,Coyah,0
663,New contacts registered so far,2014-09-16,Coyah,
664,Total contacts registered from start date,2014-09-16,Coyah,116
665,Number of contacts to follow today,2014-09-16,Coyah,88
666,Number of contacts followed today,2014-09-16,Coyah,80
667,Number of contacts out of the track 21 days,2014-09-16,Coyah,28
668,Number of contacts lost to follow up,2014-09-16,Coyah,0
669,Number of samples collected today,2014-09-16,Coyah,
670,Number of samples under test,2014-09-16,Coyah,
671,Total samples tested,2014-09-16,Coyah,
832,New cases of suspects,2014-09-16,Dabola,
833,New cases of probables,2014-09-16,Dabola,
834,New cases of confirmed,2014-09-16,Dabola,
835,Total new cases registered so far,2014-09-16,Dabola,0
836,Total cases of suspects,2014-09-16,Dabola,0
837,Total cases of probables,2014-09-16,Dabola,3
838,Total cases of confirmed,2014-09-16,Dabola,1
839,Cumulative (confirmed + probable + suspects),2014-09-16,Dabola,4
840,Total suspected non-class cases,2014-09-16,Dabola,3
841,New deaths registered,2014-09-16,Dabola,
842,Total deaths of suspects,2014-09-16,Dabola,0
843,Total deaths of probables,2014-09-16,Dabola,3
844,Total deaths of confirmed,2014-09-16,Dabola,1
845,Total deaths (confirmed + probables + suspects),2014-09-16,Dabola,4
846,Fatality rate for confirmed and probables,2014-09-16,Dabola,100%
847,New cases of confirmed among health workers,2014-09-16,Dabola,
848,Total case of confirmed among health workers,2014-09-16,Dabola,0
849,New deaths registered among health workers,2014-09-16,Dabola,0
850,Total deaths registered among health workers,2014-09-16,Dabola,0
851,New admits to CTE so far,2014-09-16,Dabola,
852,Total number of hospitalized cases in CTE,2014-09-16,Dabola,0
853,Total number of exits from CTE,2014-09-16,Dabola,0
854,Total number of admissions to CTE,2014-09-16,Dabola,0
855,New contacts registered so far,2014-09-16,Dabola,
856,Total contacts registered from start date,2014-09-16,Dabola,69
857,Number of contacts to follow today,2014-09-16,Dabola,0
858,Number of contacts followed today,2014-09-16,Dabola,0
859,Number of contacts out of the track 21 days,2014-09-16,Dabola,69
860,Number of contacts lost to follow up,2014-09-16,Dabola,0
861,Number of samples collected today,2014-09-16,Dabola,
862,Number of samples under test,2014-09-16,Dabola,
863,Total samples tested,2014-09-16,Dabola,
1024,New cases of suspects,2014-09-16,Dalaba,
1025,New cases of probables,2014-09-16,Dalaba,
1026,New cases of confirmed,2014-09-16,Dalaba,1
1027,Total new cases registered so far,2014-09-16,Dalaba,0
1028,Total cases of suspects,2014-09-16,Dalaba,0
1029,Total cases of probables,2014-09-16,Dalaba,0
1030,Total cases of confirmed,2014-09-16,Dalaba,2
1031,Cumulative (confirmed + probable + suspects),2014-09-16,Dalaba,2
1032,Total suspected non-class cases,2014-09-16,Dalaba,0
1033,New deaths registered,2014-09-16,Dalaba,
1034,Total deaths of suspects,2014-09-16,Dalaba,0
1035,Total deaths of probables,2014-09-16,Dalaba,0
1036,Total deaths of confirmed,2014-09-16,Dalaba,0
1037,Total deaths (confirmed + probables + suspects),2014-09-16,Dalaba,0
1038,Fatality rate for confirmed and probables,2014-09-16,Dalaba,0%
1039,New cases of confirmed among health workers,2014-09-16,Dalaba,
1040,Total case of confirmed among health workers,2014-09-16,Dalaba,0
1041,New deaths registered among health workers,2014-09-16,Dalaba,0
1042,Total deaths registered among health workers,2014-09-16,Dalaba,0
1043,New admits to CTE so far,2014-09-16,Dalaba,
1044,Total number of hospitalized cases in CTE,2014-09-16,Dalaba,0
1045,Total number of exits from CTE,2014-09-16,Dalaba,0
1046,Total number of admissions to CTE,2014-09-16,Dalaba,0
1047,New contacts registered so far,2014-09-16,Dalaba,
1048,Total contacts registered from start date,2014-09-16,Dalaba,34
1049,Number of contacts to follow today,2014-09-16,Dalaba,34
1050,Number of contacts followed today,2014-09-16,Dalaba,20
1051,Number of contacts out of the track 21 days,2014-09-16,Dalaba,0
1052,Number of contacts lost to follow up,2014-09-16,Dalaba,0
1053,Number of samples collected today,2014-09-16,Dalaba,
1054,Number of samples under test,2014-09-16,Dalaba,
1055,Total samples tested,2014-09-16,Dalaba,
1216,New cases of suspects,2014-09-16,Dinguiraye,
1217,New cases of probables,2014-09-16,Dinguiraye,
1218,New cases of confirmed,2014-09-16,Dinguiraye,
1219,Total new cases registered so far,2014-09-16,Dinguiraye,0
1220,Total cases of suspects,2014-09-16,Dinguiraye,0
